Step9.soma.Spikecount
Step9.soma.AP_amplitude_from_voltagebase
Step9.soma.voltage_base
Step9.soma.AHP_depth_abs
Step9.soma.AHP_time_from_peak
Step9.soma.AHP_depth_abs_slow
Step9.soma.AHP_slow_time
Step9.soma.AP_duration_half_width
Step9.soma.AP_width
Step9.soma.AP_peak_downstroke
Step9.soma.steady_state_voltage_stimend
Step9.soma.AP2_AP1_diff
Step9.soma.decay_time_constant_after_stim
Step9.soma.ISI_CV
Step8.soma.Spikecount
Step8.soma.steady_state_voltage_stimend
Step7.soma.Spikecount
Step7.soma.steady_state_voltage_stimend
Step6.soma.Spikecount
Step6.soma.steady_state_voltage_stimend
Step5.soma.Spikecount
Step5.soma.steady_state_voltage_stimend
Step4.soma.Spikecount
Step4.soma.steady_state_voltage_stimend
Step3.soma.Spikecount
Step3.soma.steady_state_voltage_stimend
Step2.soma.Spikecount
Step2.soma.steady_state_voltage_stimend
Step1.soma.Spikecount
Step1.soma.steady_state_voltage_stimend
Step0.soma.sag_amplitude
